objective,task_no,responsible,involved,time,funding,priority_area,source_page
6,5,SUBPESCA - MINREL - DIVANTARTICA,,2026 - 2030,Por determinar,2,22
6,6,SUBPESCA - MINREL - DIVANTARTICA,,2026 - 2030,No requiere,2,22
6,7,SUBPESCA,,2026 - 2030,Por determinar,2,22
6,8,INACH - DIVANTÁRTICA,,2026 - 2030,Presupuesto Institucional vía Ley de Presupuesto,2,23
6,9,MINREL - INACH - DIVANTÁRTICA,,2026 - 2030,Presupuesto Institucional vía Ley de Presupuesto,2,23
6,10,MINDEF (ARMADA),SERNAPESCA - MINREL - DIVANTARTICA,2026 - 2030,Ley de Presupuesto del Sector Público,1 y 2,23
6,11,MINDEF (ARMADA),SERNAPESCA - MINREL - DIVANTARTICA,2026 - 2030,Ley de Presupuesto del Sector Público,1 y 2,23
6,12,SUBPESCA - DIVANTÁRTICA,SERNAPESCA - INACH,2026 - 2030,No requiere,2,23
6,13,INACH,,2026 - 2030,Por determinar,2 y 4,23
6,14,INACH,,2026 - 2030,Por determinar,4,23
7,1,GORE MAGALLANES,MINDEF - ARMADA - SUBTURISMO,2026 -2030,Por determinar,5,24
7,2,INACH,MINREL - DIVANTARTICA,2026 -2030,Por determinar,5,24
8,1,MINEDUC,INACH,2026-2030,Por determinar,1,25
8,2,MINDEF (EJERCITO - ARMADA - FACH),SEREMI MMA - INACH,2026-2030,Ley de Presupuesto del Sector Público,1,25
8,3,MINDEF - EJERCITO,MINDEF - EMCO - OPERADORES ANTRATICOS DE DEFENSA -SUBDEFENSA,2026-2030,Ley de Presupuesto del Sector Público,2,25
8,4,MINREL - DIVANTARTICA,INACH - GORE MAGALLANES,2026-2030,Ley de Presupuesto del Sector Público,1,25
8,5,INACH,,2026-2030,Por determinar,1,25
8,6,INACH,,2026-2030,Por determinar,1,25
8,7,INACH,,2026-2030,Por determinar,1,25
8,8,INACH,,2026-2030,Por determinar,3,25
8,9,INACH,,2026-2030,Por determinar,1,26
8,10,MINDEF (EJÉRCITO - ARMADA - FACH),SUBDEFENSA - EMCO - OPERADORES ANTARTICOS DE DEFENSA,2027 - 2030,Presupuesto Institucional vía Ley de Presupuesto,1,26
8,11,MINDEF,MINDEF - EMCO - MINREL - DIVANTARTICA -SUBDEFENSA,2026-2030,Ley de Presupuesto del Sector Público,2,26
9,1,MMA,MINREL - DIVANTARTICA - GORE MAGALLANES,2026,Presupuesto Institucional vía Ley de Presupuesto,4,27
9,2,MMA,MINREL - DIVANTARTICA - GORE MAGALLANES,2026,Presupuesto Institucional vía Ley de Presupuesto,4,27
9,3,MMA,MINREL - DIVANTARTICA - MINDEF - GORE MAGALLANES,2026,Presupuesto Institucional vía Ley de Presupuesto,4,27
10,1,MOP,GORE MAGALLANES,2026 - 2030,Por determinar,1,28
10,2,MOP,GORE MAGALLANES,2026 - 2030,Por determinar,1,28
10,3,MOP,GORE MAGALLANES,2026-2030,Por determinar,1,28
10,4,MOP,GORE MAGALLANES,2026-2030,Por determinar,1,28
10,5,SUBTEL,,2029,Por determinar,1,28
10,6,SUBTEL,,2029,Por determinar,1,29
10,7,SUBTEL,,2029,Por determinar,1,29
10,8,SUBTEL,,2030,Por determinar,1,29
10,9,SUBTEL,,2030,Por determinar,1,29
10,10,INACH,,2026-2030,Por determinar,1,29
10,11,MINDEF (EJÉRCITO),SUBDEFENSA - EMCO,2029,Ley de Presupuesto del Sector Público,1,30
10,12,MINDEF (FACH),SUBDEFENSA FACH,2026- 2030 Proyectado en Etapas,Ley N° 21.174 (Capacidades Estratégicas entre el 2026-2031),1,30
10,13,MINDEF (FACH),FACH,2026- 2030 Proyectado en Etapas,Fuente de financiamiento por definir,1,30
10,14,MINDEF (FACH),MINDEF-EMCO,2026 - 2030,Ley N° 21.174 (Capacidades Estratégicas entre el 2026-2031),1,30
10,15,MINDEF (FACH),MINDEF-EMCO,2026 - 2030,Ley N° 21.174 (Capacidades Estratégicas entre el 2026-2031). Otras fuentes de financiamiento.,4,30
10,16,MINDEF (FACH),MINDEF-EMCO,2026 - 2030,Ley N° 21.174 (Capacidades Estratégicas entre el 2026-2031).,1,30
